fragment_id,page_id,book_id,catalog_generation,grade,viewer_page,fragment_sequence,candidate_type,token_count,char_count,question_mark_count,imperative_signal_count,material_signal,project_signal,experiment_signal,assessment_signal,activity_signal,text_sha256,segmenter_version,source_structure_class,classification_certainty,uncertain_boundary
LTMD-CN1-G1972-VP003-F001,LTMD-CN1-G1972-VP003,LTMD-CN1-G1972,1972,1,3,1,short_residual_candidate,12,73,0,0,0,0,0,0,0,9a2350824f6155c8f38ac7fbfa7523163fbccdeae1efb666ca4d4e98d733b0b0,FRAGSEG_CN_WAVE2_0.1,mixed_text_image,medium,0
LTMD-CN1-G1972-VP003-F002,LTMD-CN1-G1972-VP003,LTMD-CN1-G1972,1972,1,3,2,short_residual_candidate,11,42,0,0,0,0,0,0,0,5bdf233acb6f036c2c1e306787edf38f30f18b14bb6d3dd584c6e0f9f949a109,FRAGSEG_CN_WAVE2_0.1,mixed_text_image,medium,0
LTMD-CN1-G1972-VP003-F003,LTMD-CN1-G1972-VP003,LTMD-CN1-G1972,1972,1,3,3,short_residual_candidate,9,38,0,0,0,0,0,0,0,127051cd91d0d64431f1ffa65422466d111cff8481f5b20f11916d5d1d7b3c7e,FRAGSEG_CN_WAVE2_0.1,mixed_text_image,medium,0
LTMD-CN1-G1972-VP003-F004,LTMD-CN1-G1972-VP003,LTMD-CN1-G1972,1972,1,3,4,short_residual_candidate,4,28,0,0,0,0,0,0,0,5722d5766fc569ea7c6aed28983d067fb58b915016000647ab1d9c7408f20f84,FRAGSEG_CN_WAVE2_0.1,mixed_text_image,medium,0
LTMD-CN1-G1972-VP004-F001,LTMD-CN1-G1972-VP004,LTMD-CN1-G1972,1972,1,4,1,short_residual_candidate,4,23,0,0,0,0,0,0,0,87742372d1ab066bd75e49743c2113b43d7080417c80d7052612cfb097527ce8,FRAGSEG_CN_WAVE2_0.1,mixed_text_image,low,0
LTMD-CN1-G1972-VP007-F001,LTMD-CN1-G1972-VP007,LTMD-CN1-G1972,1972,1,7,1,short_residual_candidate,9,34,0,0,0,0,0,0,0,84789ed6b27f2c084b3d3ebc1945b16bcd8e4cdf5f80591f6dc30e692a4c56c2,FRAGSEG_CN_WAVE2_0.1,mixed_text_image,low,0
LTMD-CN1-G1972-VP008-F001,LTMD-CN1-G1972-VP008,LTMD-CN1-G1972,1972,1,8,1,question_candidate,3,19,0,0,0,0,0,0,0,80e9c9285815cf9804766703963e2b6dec2314eac758179ce69619f82a4befb3,FRAGSEG_CN_WAVE2_0.1,mixed_text_image,low,0
LTMD-CN1-G1972-VP008-F002,LTMD-CN1-G1972-VP008,LTMD-CN1-G1972,1972,1,8,2,short_residual_candidate,4,16,0,0,0,0,0,0,0,38095c56bd15ca6f0be332d187593efd4e09609d88e04fcc05b0b95d3d7cf665,FRAGSEG_CN_WAVE2_0.1,mixed_text_image,low,0
LTMD-CN1-G1972-VP014-F001,LTMD-CN1-G1972-VP014,LTMD-CN1-G1972,1972,1,14,1,question_candidate,5,36,2,1,0,0,0,0,0,efc71181aa808eb29e200df44b7392ee553da3a7f5f6866ca01a812c15d551c1,FRAGSEG_CN_WAVE2_0.1,mixed_text_image,low,0
LTMD-CN1-G1972-VP019-F001,LTMD-CN1-G1972-VP019,LTMD-CN1-G1972,1972,1,19,1,question_candidate,8,45,2,0,0,0,0,0,0,5f8d851dea9d4ee5313120b49038e69b2307a6fbb0e0ddb9d2182db5da46e836,FRAGSEG_CN_WAVE2_0.1,mixed_text_image,low,0
