fragment_id,page_id,catalog_generation,type_A,action_observe,action_describe,action_recall,action_explain,action_compare,action_classify,action_measure,action_experiment,action_investigate,action_predict,action_infer,action_discuss,action_solve,action_create,action_decide,action_act_on_environment,position_receiver,position_instruction_follower,position_observer,position_experimenter,position_investigator,position_reasoner,position_collaborator,position_decision_maker,position_community_agent,evidence_count_A,uncertain_A,ruleset_version,text_sha256
LTMD-CN5-G1972-VP003-F001,LTMD-CN5-G1972-VP003,1972,heading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,RULEA_0.1,2ae838ad1aa911fc6e38277c5bd42929dfd156174561fff4c6060a9a6f420dd7
LTMD-CN5-G1972-VP006-F001,LTMD-CN5-G1972-VP006,1972,heading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,4d0a1222887fa2340f3626ccee15ea199390793d264adf0d00d92b61ad6a6284
LTMD-CN5-G1972-VP006-F002,LTMD-CN5-G1972-VP006,1972,expository,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,5ec43d85fcf6f1866ce93eabb91fca4a5fd003a2ed755113920af75e3b9b870a
LTMD-CN5-G1972-VP006-F003,LTMD-CN5-G1972-VP006,1972,question,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,RULEA_0.1,3508b95b7d51c0870dd15aa6310b1ae1fa3b9258faddc448cb71a31e64aa8839
LTMD-CN5-G1972-VP006-F004,LTMD-CN5-G1972-VP006,1972,instruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,RULEA_0.1,6299eb7043e8e49a055f612d0f06dd7070f8ac5f30392c369f6f1ae38a28cfed
LTMD-CN5-G1972-VP006-F005,LTMD-CN5-G1972-VP006,1972,instruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,RULEA_0.1,0c6cf0dfb6adbf0f1e3b0f413455f5e3f8e2274683820990a529dead42230b64
LTMD-CN5-G1972-VP006-F006,LTMD-CN5-G1972-VP006,1972,instruction,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,RULEA_0.1,2a45b4b3366ca78ccbc882af0fba74f7d5df101f4c7472cb8febd60154bdec28
LTMD-CN5-G1972-VP006-F007,LTMD-CN5-G1972-VP006,1972,expository,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,adec9ae7c1a6c7f22e5832e7695ce3749ca8052e3b56275be8b6999bb138244d
LTMD-CN5-G1972-VP006-F008,LTMD-CN5-G1972-VP006,1972,instruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,RULEA_0.1,eb653593d90342f0e2c30503243071c4b73682464cb1780cf8dc7b9e124c0eba
LTMD-CN5-G1972-VP006-F009,LTMD-CN5-G1972-VP006,1972,expository,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,0c1197a2843611a47a9023239ea2402ab5b23be1763bb4f974092618aedda854
LTMD-CN5-G1972-VP006-F010,LTMD-CN5-G1972-VP006,1972,heading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,b94d844677cfc3ba445e541cf6f9539b8c33fe1be3b31574041f0de863849703
LTMD-CN5-G1972-VP006-F011,LTMD-CN5-G1972-VP006,1972,instruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,RULEA_0.1,78c0f0081cb491c1935ac4118dae3e3456ddbc4b57ed07f5855e304feeca8fd2
LTMD-CN5-G1972-VP006-F012,LTMD-CN5-G1972-VP006,1972,expository,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,98d7cb57e2acddfaf6b992e9cb2a6e9547ced697f1f1693555171c15d3fd043d
LTMD-CN5-G1972-VP011-F001,LTMD-CN5-G1972-VP011,1972,heading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,c977dbe785221d34114d345fdf8ff4e18bb4af66750751dbea29407f9738735f
LTMD-CN5-G1972-VP011-F002,LTMD-CN5-G1972-VP011,1972,heading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,7468fc40b5e3a97ba03fc564afb19343720d5c6166c22b90f424225294fbed2b
LTMD-CN5-G1972-VP011-F003,LTMD-CN5-G1972-VP011,1972,instruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,RULEA_0.1,7b21264070e3aa8760282e7f970ddf343c5bfca533d963f90727b8d171f18850
